epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.28368,3.53214,15.1774,1.69693,0,0,0,0,2.38635,5.5629,1.05472,0.000647059,0.000647059,0.000647059
2,12.5503,2.18442,3.69893,1.0238,0.00374,0.88922,0.0431,0.03024,1.43219,4.08717,0.84802,0.00128771,0.00128771,0.00128771
3,16.8687,1.68569,2.61703,0.88861,1,0.24438,0.92106,0.53616,1.38318,2.34436,0.82904,0.00190197,0.00190197,0.00190197
4,21.218,1.65241,2.42539,0.89227,0.9562,0.96707,0.97779,0.64936,1.29469,1.31809,0.80435,0.0018812,0.0018812,0.0018812
5,26.028,1.50919,2.10542,0.84898,0.9869,0.98503,0.99285,0.60457,1.30609,1.15571,0.80769,0.0018416,0.0018416,0.0018416
6,30.2509,1.54659,1.85323,0.85883,0.99832,0.98503,0.99485,0.58956,1.28662,1.03998,0.78607,0.001802,0.001802,0.001802
7,34.2967,1.28555,1.53274,0.86731,0.99106,0.99615,0.99467,0.69498,0.99999,0.87124,0.77216,0.0017624,0.0017624,0.0017624
8,38.5929,1.22738,1.25736,0.84821,0.997,0.99521,0.99497,0.66777,1.13131,0.8136,0.78497,0.0017228,0.0017228,0.0017228
9,42.3532,1.23643,1.32536,0.85332,0.99304,0.99701,0.99497,0.67921,1.02622,0.71643,0.77562,0.0016832,0.0016832,0.0016832
10,46.1483,1.1485,1.14025,0.84976,0.99629,0.99701,0.995,0.69874,0.94838,0.68827,0.76587,0.0016436,0.0016436,0.0016436
11,49.9576,1.08084,0.99193,0.8328,0.99651,1,0.99494,0.68217,0.89609,0.74267,0.76067,0.001604,0.001604,0.001604
12,53.9009,1.03454,0.98609,0.82024,0.99037,1,0.99488,0.74784,0.93495,0.73312,0.76895,0.0015644,0.0015644,0.0015644
13,57.7193,1.03514,0.90217,0.82289,0.99701,0.9995,0.99497,0.75817,0.91938,0.66963,0.76946,0.0015248,0.0015248,0.0015248
14,61.6921,1.07207,0.88727,0.81816,0.99675,1,0.995,0.7509,0.92503,0.67467,0.75928,0.0014852,0.0014852,0.0014852
15,65.6534,1.03014,0.81409,0.81268,0.99728,1,0.995,0.72668,0.9308,0.68589,0.76123,0.0014456,0.0014456,0.0014456
16,69.9059,0.95994,0.72984,0.82256,0.99324,1,0.99446,0.74405,0.88092,0.55974,0.7573,0.001406,0.001406,0.001406
17,73.8923,0.98268,0.75579,0.81902,0.99378,1,0.99494,0.75744,0.936,0.48523,0.75633,0.0013664,0.0013664,0.0013664
18,77.8771,0.90058,0.7347,0.79481,0.9934,0.99701,0.99451,0.76895,0.82937,0.46694,0.74989,0.0013268,0.0013268,0.0013268
19,82.1966,0.92717,0.67204,0.81892,0.99109,0.99951,0.99476,0.75284,0.83987,0.46686,0.75043,0.0012872,0.0012872,0.0012872
20,85.9727,0.98767,0.69359,0.82349,0.98628,0.99701,0.99389,0.74243,0.95712,0.49317,0.76571,0.0012476,0.0012476,0.0012476
21,89.8838,0.89704,0.63105,0.782,0.9911,0.9997,0.99422,0.7529,0.84459,0.43111,0.75208,0.001208,0.001208,0.001208
22,93.987,0.87193,0.62158,0.78786,0.99507,1,0.995,0.79093,0.80117,0.4499,0.74328,0.0011684,0.0011684,0.0011684
23,97.8932,0.94056,0.63017,0.79398,0.99274,1,0.99473,0.77737,0.84154,0.45097,0.74599,0.0011288,0.0011288,0.0011288
24,101.777,0.88638,0.58359,0.78915,0.99387,1,0.995,0.81154,0.7637,0.4061,0.74429,0.0010892,0.0010892,0.0010892
25,106.083,0.8478,0.5746,0.80255,1,0.99591,0.995,0.83624,0.66655,0.36481,0.74076,0.0010496,0.0010496,0.0010496
26,109.9,0.77753,0.51415,0.80496,0.99352,1,0.99449,0.77247,0.73316,0.38062,0.7462,0.00101,0.00101,0.00101
27,113.855,0.82214,0.53897,0.80536,0.99245,1,0.9944,0.8226,0.65069,0.36811,0.74073,0.0009704,0.0009704,0.0009704
28,117.672,0.75874,0.51928,0.78955,0.99659,1,0.99479,0.83342,0.64714,0.37901,0.73914,0.0009308,0.0009308,0.0009308
29,121.679,0.72983,0.50506,0.77993,0.99378,1,0.995,0.85357,0.6628,0.36354,0.73786,0.0008912,0.0008912,0.0008912
30,125.603,0.73685,0.50592,0.79686,0.99667,1,0.995,0.83042,0.68919,0.38813,0.73871,0.0008516,0.0008516,0.0008516
31,129.568,0.74871,0.4891,0.79179,0.99701,0.99907,0.995,0.84446,0.71155,0.40321,0.73861,0.000812,0.000812,0.000812
32,133.75,0.76348,0.49461,0.77424,0.99701,0.99899,0.99473,0.84431,0.72075,0.36725,0.73746,0.0007724,0.0007724,0.0007724
33,137.811,0.78226,0.48439,0.80152,0.99357,1,0.99443,0.85892,0.63947,0.34396,0.73189,0.0007328,0.0007328,0.0007328
34,142.608,0.67799,0.4498,0.79788,0.99305,1,0.99479,0.83314,0.66933,0.3418,0.73559,0.0006932,0.0006932,0.0006932
35,146.75,0.71085,0.45593,0.80525,0.99324,1,0.99449,0.84533,0.60724,0.33254,0.73288,0.0006536,0.0006536,0.0006536
36,151.128,0.68612,0.45644,0.78418,0.99369,1,0.99467,0.8573,0.62352,0.34103,0.73605,0.000614,0.000614,0.000614
37,155.589,0.70551,0.44235,0.79945,0.99393,1,0.99476,0.8865,0.61503,0.32943,0.73562,0.0005744,0.0005744,0.0005744
38,159.446,0.6441,0.41566,0.79082,0.99382,1,0.99482,0.89619,0.58288,0.33213,0.73405,0.0005348,0.0005348,0.0005348
39,163.913,0.68849,0.43731,0.79526,0.99379,1,0.99473,0.89762,0.53326,0.33221,0.73435,0.0004952,0.0004952,0.0004952
40,168.731,0.70543,0.43341,0.80083,0.99369,1,0.99473,0.88349,0.62882,0.33879,0.73733,0.0004556,0.0004556,0.0004556
41,173.988,0.58201,0.42709,0.78648,0.9957,1,0.9947,0.86234,0.63948,0.34341,0.73517,0.000416,0.000416,0.000416
42,178.735,0.58868,0.42673,0.78499,0.9965,1,0.99476,0.85349,0.61979,0.33672,0.73505,0.0003764,0.0003764,0.0003764
43,182.579,0.57975,0.41917,0.7749,0.99935,1,0.995,0.8664,0.6016,0.32982,0.7343,0.0003368,0.0003368,0.0003368
44,186.437,0.55293,0.3997,0.77852,0.9997,1,0.995,0.84923,0.63118,0.34503,0.7342,0.0002972,0.0002972,0.0002972
45,190.482,0.53729,0.39683,0.75275,0.99659,1,0.99497,0.87958,0.60707,0.32575,0.73274,0.0002576,0.0002576,0.0002576
46,194.576,0.5342,0.38809,0.78035,0.99623,1,0.99497,0.88557,0.55651,0.32726,0.7319,0.000218,0.000218,0.000218
47,198.625,0.49994,0.38512,0.7594,0.99733,0.99701,0.995,0.87749,0.57633,0.33466,0.73188,0.0001784,0.0001784,0.0001784
48,202.471,0.48578,0.37781,0.78118,0.99639,1,0.995,0.88037,0.57509,0.34258,0.73122,0.0001388,0.0001388,0.0001388
49,206.316,0.48465,0.36171,0.79668,0.99701,0.99913,0.99482,0.89799,0.54888,0.30422,0.73168,9.92e-05,9.92e-05,9.92e-05
50,210.402,0.50425,0.37293,0.78164,0.99701,0.99987,0.99476,0.8978,0.53755,0.29496,0.7315,5.96e-05,5.96e-05,5.96e-05
